Country,Total Fertility rate in 2021 (births/woman)
Turks and Caicos Islands (UK),1.67
United States,1.66
Brazil,1.64
Slovakia,1.64
New Zealand,1.64
Slovenia,1.64
Barbados,1.63
Trinidad and Tobago,1.63
Netherlands,1.62
Croatia,1.62
Estonia,1.61
North Macedonia,1.60
Belgium,1.60
Dominica,1.59
Hungary,1.59
Sint Maarten (Netherlands) (Dutch part),1.58
Antigua and Barbuda,1.58
Germany,1.58
Bulgaria,1.58
Armenia,1.57
Latvia,1.57
Isle of Man (UK),1.56
United Kingdom,1.56
Norway,1.55
Chile,1.54
Costa Rica,1.53
Saint Kitts and Nevis,1.53
Liechtenstein,1.53
Kosovo,1.52
Switzerland,1.52
Azerbaijan,1.52
Uruguay,1.49
Russia,1.49
Belarus,1.48
Austria,1.48
Serbia,1.48
United Arab Emirates,1.46
Finland,1.46
Channel Islands - (12) Guernsey (UK) and (13) Jersey (UK),1.46
Cuba,1.44
Canada,1.43
Bhutan,1.41
Mauritius,1.41
Saint Lucia,1.40
Albania,1.39
Greece,1.39
Bahamas,1.39
Curaçao (Netherlands),1.38
Portugal,1.38
Luxembourg,1.38
Jamaica,1.35
Bosnia and Herzegovina,1.35
Lithuania,1.34
Thailand,1.33
Poland,1.33
Cyprus,1.32
Japan,1.30
Bermuda (UK),1.30
Italy,1.25
Spain,1.19
Aruba (Netherlands),1.18
China,1.16
Ukraine,1.16
Malta,1.14
Singapore,1.12
Macau (China),1.09
British Virgin Islands (UK),1.00
Puerto Rico (US),0.91
South Korea,0.81
Hong Kong (China),0.77
Sovereign states: 190,
Dependent territories: 20,
World,2.27
Major regions,
Sub-Saharan Africa (excluding high income),4.6
Sub-Saharan Africa,4.6
Arab world,3.1
Middle East and North Africa (excluding high income),2.7
Middle East and North Africa,2.6
South Asia,2.2
Latin America and Caribbean,1.9
Latin America and Caribbean (excluding high income),1.9
Europe and Central Asia (excluding high income),1.9
Europe and Central Asia,1.7
East Asia and Pacific (excluding high income),1.5
East Asia and Pacific,1.5
North America,1.6
Central Europe and the Baltics,1.6
States’ size,
Pacific Island small states,3.2
Other small states,2.9
Small states,2.7
Caribbean small states,1.7
International organizations,
OECD members,1.6
European Union,1.5
Security situation,
Fragile and conflict affected situations,4.4
Economic areas,
Euro area,1.5
Economic situation,
Heavily indebted poor countries (HIPC),4.6
Least developed countries: UN classification,4.0
Income,
Low income countries,4.6
Lower middle income countries,2.6
Low and middle income countries,2.4
Middle income countries,2.1
Upper middle income countries,1.6
High income countries,1.5
Not ranked (no data or data from other years),
American Samoa (US),-
Andorra,1.3 (2010)
Cayman Islands (UK),-
Monaco,
Nauru,-
Northern Mariana Islands (US),-
Palau,0.85 (2020)
San Marino,1.3 (2012)
Vatican City,-
Western Sahara,-
